Target,Model,Class,Accuracy,Precision,Recall,F1-Score,Support
kessler_dummy2,random_forest_with_rfe,0,0.8755690440060698,0.902555910543131,0.9641638225255973,0.9323432343234324,586.0
kessler_dummy2,random_forest_with_rfe,1,0.8755690440060698,0.36363636363636365,0.1643835616438356,0.22641509433962262,73.0
kessler_dummy3,random_forest_with_rfe,0,0.8239757207890743,0.8625204582651391,0.9427549194991055,0.9008547008547009,559.0
kessler_dummy3,random_forest_with_rfe,1,0.8239757207890743,0.3333333333333333,0.16,0.21621621621621623,100.0
kessler_dummy4,random_forest_with_rfe,0,0.8224582701062215,0.8538961038961039,0.9511754068716094,0.8999144568006844,553.0
kessler_dummy4,random_forest_with_rfe,1,0.8224582701062215,0.37209302325581395,0.1509433962264151,0.21476510067114093,106.0
