Feature,Importance,Feature_Rank,Target
akan1,0.07329881661418206,1,kessler_dummy2
radio_listening1,0.04850476543510743,2,kessler_dummy2
age_sq_1001,0.038232968495244324,3,kessler_dummy2
big5consc_score1,0.037658754599583524,4,kessler_dummy2
age_yrs1,0.03643637108493253,5,kessler_dummy2
emp_stat1,0.036059190718844086,6,kessler_dummy2
big5agreeable_score1,0.035577743263176045,7,kessler_dummy2
workdays_per_week1,0.03177246036080221,8,kessler_dummy2
savings_yn1,0.03017077229742355,9,kessler_dummy2
bmi1,0.029639515412379306,10,kessler_dummy2
big5extrav_score1,0.02868490904549892,11,kessler_dummy2
height1,0.028405440860317502,12,kessler_dummy2
big5neurotic_score1,0.02789218519608627,13,kessler_dummy2
age_married1,0.027603820652526354,14,kessler_dummy2
elec_ntnlgrid1,0.0267692382662408,15,kessler_dummy2
big5open_score1,0.02664622224833059,16,kessler_dummy2
work_mother1,0.022361370787269616,17,kessler_dummy2
region_old1,0.02208111378344748,18,kessler_dummy2
hh_size1,0.021752885856661065,19,kessler_dummy2
alert_community1,0.02150439240523781,20,kessler_dummy2
