Target,Feature_Rank,Feature
kessler_dummy2,1,akan1
kessler_dummy2,2,radio_listening1
kessler_dummy2,3,age_sq_1001
kessler_dummy2,4,big5consc_score1
kessler_dummy2,5,age_yrs1
kessler_dummy2,6,emp_stat1
kessler_dummy2,7,big5agreeable_score1
kessler_dummy2,8,workdays_per_week1
kessler_dummy2,9,savings_yn1
kessler_dummy2,10,bmi1
kessler_dummy2,11,big5extrav_score1
kessler_dummy2,12,height1
kessler_dummy2,13,big5neurotic_score1
kessler_dummy2,14,age_married1
kessler_dummy2,15,elec_ntnlgrid1
kessler_dummy2,16,big5open_score1
kessler_dummy2,17,work_mother1
kessler_dummy2,18,region_old1
kessler_dummy2,19,hh_size1
kessler_dummy2,20,alert_community1
kessler_dummy3,1,wealth1
kessler_dummy3,2,prop_U181
kessler_dummy3,3,big5consc_score1
kessler_dummy3,4,savings_yn1
kessler_dummy3,5,age_sq_1001
kessler_dummy3,6,age_yrs1
kessler_dummy3,7,big5open_score1
kessler_dummy3,8,height1
kessler_dummy3,9,big5extrav_score1
kessler_dummy3,10,big5neurotic_score1
kessler_dummy3,11,big5agreeable_score1
kessler_dummy3,12,bmi1
kessler_dummy3,13,age_married1
kessler_dummy3,14,tv_watching1
kessler_dummy3,15,hh_size1
kessler_dummy3,16,ladderlife_com1
kessler_dummy3,17,educ1
kessler_dummy3,18,shared_dwelling1
kessler_dummy3,19,ladderlife_gh1
kessler_dummy3,20,region_old1
kessler_dummy4,1,big5extrav_score1
kessler_dummy4,2,wealth1
kessler_dummy4,3,savings_yn1
kessler_dummy4,4,big5agreeable_score1
kessler_dummy4,5,age_yrs1
kessler_dummy4,6,age_sq_1001
kessler_dummy4,7,big5open_score1
kessler_dummy4,8,prop_hh_nhis1
kessler_dummy4,9,big5consc_score1
kessler_dummy4,10,age_married1
kessler_dummy4,11,improved_tf_w11
kessler_dummy4,12,big5neurotic_score1
kessler_dummy4,13,bmi1
kessler_dummy4,14,height1
kessler_dummy4,15,prop_U181
kessler_dummy4,16,errands1
kessler_dummy4,17,educ1
kessler_dummy4,18,ladderlife_com1
kessler_dummy4,19,hh_size1
kessler_dummy4,20,kids_care1
