Target,Model,Class,Accuracy,Precision,Recall,F1-Score,Support
kessler_dummy2,decision_tree,0,0.7890743550834598,0.9100917431192661,0.8464163822525598,0.8770999115826702,586.0
kessler_dummy2,decision_tree,1,0.7890743550834598,0.21052631578947367,0.3287671232876712,0.25668449197860965,73.0
kessler_dummy3,decision_tree,0,0.6525037936267072,0.8602620087336245,0.7048300536672629,0.774827925270403,559.0
kessler_dummy3,decision_tree,1,0.6525037936267072,0.1791044776119403,0.36,0.23920265780730895,100.0
kessler_dummy4,decision_tree,0,0.723823975720789,0.8658777120315582,0.7938517179023508,0.8283018867924528,553.0
kessler_dummy4,decision_tree,1,0.723823975720789,0.25,0.3584905660377358,0.29457364341085274,106.0
